StudNum,StudName,Counts,AVG_Conc_Bill,AVG_CB_df,AVG_CB_score,SD_Conc_Bill,SD_CBill_score,AVG_Normal_Morph,AVG_NM_score,min_Normal_Morph,min_NM_score,pct_Bacteria,pct_B_score,Comb_score,wk,q
2,SPGN,7,49,5,1,3,3,92,3,89,3,0,3,13,14.75,13.923076923076923
16,YUMA,5,44,0,3,2.9,3,90,3,88,3,0,3,15,14.5,13.307692307692308
14,PRIN,8,42,2,3,5.5,2,88,3,83,3,0,3,14,14.25,14.23076923076923
15,SKYL,3,43,1,3,4,2,89,3,88,3,0,3,14,14.25,14.307692307692308
4,DEER,9,45,1,3,4.2,2,88,3,85,3,0,3,14,14,13.384615384615385
12,CYCL,8,41,3,2,3.4,2,87,3,81,3,0,3,13,14,13.846153846153847
11,CIMA,6,45,1,3,3.3,2,89,3,87,3,0,3,14,13.75,14.153846153846153
21,HIGH,3,45,1,3,3.8,2,87,3,86,3,0,3,14,13.75,13.692307692307692
3,SPGV,3,43,1,3,0.6,3,94,3,93,3,0,3,15,13.25,14.076923076923077
8,ASKI,12,41,3,2,5.3,2,87,3,82,3,0,3,13,13.25,13.692307692307692
5,LAUR,7,42,2,3,4.4,2,89,3,87,3,0,3,14,13,13.538461538461538
10,ROBE,11,41,3,2,5.8,2,87,3,80,3,0,3,13,12.75,13.23076923076923
9,WILL,12,42,2,3,4,2,88,3,83,3,0,3,14,11.5,12.538461538461538
